time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2021-07-16 09:30:00-04:00,MLTrader,2cbf0f56f8244334bf7230a20282e112,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTrader,2cbf0f56f8244334bf7230a20282e112,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.010009765625,115.0,0.0
2021-10-26 09:30:00-04:00,MLTrader,134b560848ea401585949bd23bb74ec1,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-10-26 09:30:00-04:00,MLTrader,b3dcbf4563c04b6792c2ebecd24fa6a9,SPY,buy,stop,fill,1,day,0.0,1,stock,457.8105102539063,115.0,0.0
2022-01-21 09:30:00-05:00,MLTrader,a87da82ebedd4411bb542c2ca32badb1,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-21 09:30:00-05:00,MLTrader,a87da82ebedd4411bb542c2ca32badb1,SPY,sell,market,fill,1,gtc,0.0,1,stock,445.55999755859375,109.0,0.0
2022-03-04 09:30:00-05:00,MLTrader,896a1edfc94f4b07a42711d9364a55ce,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-04 09:30:00-05:00,MLTrader,896a1edfc94f4b07a42711d9364a55ce,SPY,sell,market,fill,1,gtc,0.0,1,stock,431.75,169.0,0.0
2022-03-18 09:30:00-04:00,MLTrader,fd813d751e7341a6a5fb838d6f5ff05c,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-18 09:30:00-04:00,MLTrader,fd813d751e7341a6a5fb838d6f5ff05c,SPY,sell,market,fill,1,gtc,0.0,1,stock,438.0,250.0,0.0
2022-03-24 09:30:00-04:00,MLTrader,db84ae22c62545dd8cae4fb123b414fb,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-24 09:30:00-04:00,MLTrader,db84ae22c62545dd8cae4fb123b414fb,SPY,sell,market,fill,1,gtc,0.0,1,stock,445.94000244140625,367.0,0.0
2022-03-28 08:30:00-04:00,MLTrader,247e20e1817b4c04adb73b3b4cf15f52,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-28 08:30:00-04:00,MLTrader,65799aa8d7a041ecaa9edd7b38a5d49f,SPY,buy,stop,fill,1,day,0.0,1,stock,453.33750000000003,169.0,0.0
2022-03-29 09:30:00-04:00,MLTrader,2f7a2ae5cf834539b44eebec985d7ecf,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-29 09:30:00-04:00,MLTrader,c1c812ea6df842ad99ce2a5552f538f1,SPY,buy,stop,fill,1,day,0.0,1,stock,460.0199890136719,250.0,0.0
2022-04-22 09:30:00-04:00,MLTrader,1ec7fb5f72154a80bced5d586ec3fd60,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-22 09:30:00-04:00,MLTrader,1ec7fb5f72154a80bced5d586ec3fd60,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.9100036621094,343.0,0.0
2022-04-27 09:30:00-04:00,MLTrader,58a5f773c3b147dead2f12ae3046a6b9,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-27 09:30:00-04:00,MLTrader,58a5f773c3b147dead2f12ae3046a6b9,SPY,sell,market,fill,1,gtc,0.0,1,stock,417.239990234375,539.0,0.0
2022-04-28 09:30:00-04:00,MLTrader,608999150071492dae8b6e711a1c3d8c,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-28 09:30:00-04:00,MLTrader,608999150071492dae8b6e711a1c3d8c,SPY,sell,market,fill,1,gtc,0.0,1,stock,422.2900085449219,799.0,0.0
2022-06-10 09:30:00-04:00,MLTrader,29b5d0e672504f7c8d69253cf026825e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-06-10 09:30:00-04:00,MLTrader,29b5d0e672504f7c8d69253cf026825e,SPY,sell,market,fill,1,gtc,0.0,1,stock,394.8800048828125,1281.0,0.0
2022-07-08 09:30:00-04:00,MLTrader,743acfcf42754741b0fe1abf9a215071,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,3c45a924c9cf422bb651480b9986ae89,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,4925f5c689c34b08bcadc7be4e4a616c,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,84d975da5d694008a9ebdd602d101f1f,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,1d9d1e1b8fee4e6dbb62a4060f0db2a5,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,05a4a6141df34bdf902b19e2c1fbd0b0,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,9dc30fe3fd2a46ec8dfd5550437add6d,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,ec6ec38bff874a8cb5c82e968348e68b,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,2822d6d1a3f84bca978d8fc871781cb0,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,e3ddc81807f34994b49da543eeb2a541,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
