time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2021-07-16 09:30:00-04:00,MLTrader,9c9fa3e799a547939c3ed3097a69a415,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTrader,9c9fa3e799a547939c3ed3097a69a415,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.010009765625,115.0,0.0
2021-10-26 09:30:00-04:00,MLTrader,2a63968e88e647e585ccd95f66f341e0,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-10-26 09:30:00-04:00,MLTrader,0d0c9c356e814bb0a7a91f55bf09a6ac,SPY,buy,stop,fill,1,day,0.0,1,stock,457.8105102539063,115.0,0.0
2022-01-21 09:30:00-05:00,MLTrader,d1173f1e344f4e91955aee6b904cacb7,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-21 09:30:00-05:00,MLTrader,d1173f1e344f4e91955aee6b904cacb7,SPY,sell,market,fill,1,gtc,0.0,1,stock,445.55999755859375,109.0,0.0
2022-03-04 09:30:00-05:00,MLTrader,fb2233ca4fad40d5ba56c55fcd01efbb,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-04 09:30:00-05:00,MLTrader,fb2233ca4fad40d5ba56c55fcd01efbb,SPY,sell,market,fill,1,gtc,0.0,1,stock,431.75,169.0,0.0
2022-03-18 09:30:00-04:00,MLTrader,291a1aaa6b2a43af900ee86ad987f70a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-18 09:30:00-04:00,MLTrader,291a1aaa6b2a43af900ee86ad987f70a,SPY,sell,market,fill,1,gtc,0.0,1,stock,438.0,250.0,0.0
2022-03-24 09:30:00-04:00,MLTrader,e3c8d5c17edc4c9ca97aae8635b096f3,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-24 09:30:00-04:00,MLTrader,e3c8d5c17edc4c9ca97aae8635b096f3,SPY,sell,market,fill,1,gtc,0.0,1,stock,445.94000244140625,367.0,0.0
2022-03-28 08:30:00-04:00,MLTrader,388c63e6ac714e8097a0c9462012de24,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-28 08:30:00-04:00,MLTrader,8609472886b9446f96279f60c47b71d7,SPY,buy,stop,fill,1,day,0.0,1,stock,453.33750000000003,169.0,0.0
2022-03-29 09:30:00-04:00,MLTrader,9a23894e11274b15b6ac75445e9d3dd0,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-29 09:30:00-04:00,MLTrader,6b7b32025b4547929a1777e0beebcfd8,SPY,buy,stop,fill,1,day,0.0,1,stock,460.0199890136719,250.0,0.0
2022-04-22 09:30:00-04:00,MLTrader,662ab5e8ef5c4557a84ecde13300a5e6,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-22 09:30:00-04:00,MLTrader,662ab5e8ef5c4557a84ecde13300a5e6,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.9100036621094,343.0,0.0
2022-04-27 09:30:00-04:00,MLTrader,4c5e6111f234481f96eb096733013eee,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-27 09:30:00-04:00,MLTrader,4c5e6111f234481f96eb096733013eee,SPY,sell,market,fill,1,gtc,0.0,1,stock,417.239990234375,539.0,0.0
2022-04-28 09:30:00-04:00,MLTrader,c592d0551bca4e3ca2ef01904f34d2fe,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-28 09:30:00-04:00,MLTrader,c592d0551bca4e3ca2ef01904f34d2fe,SPY,sell,market,fill,1,gtc,0.0,1,stock,422.2900085449219,799.0,0.0
2022-06-10 09:30:00-04:00,MLTrader,9c47c13e697a49a89a0e3a62424330bf,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-06-10 09:30:00-04:00,MLTrader,9c47c13e697a49a89a0e3a62424330bf,SPY,sell,market,fill,1,gtc,0.0,1,stock,394.8800048828125,1281.0,0.0
2022-07-08 09:30:00-04:00,MLTrader,a37646ae585545dbb239defcaeb9d885,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,e7ced673bac446138101cf85ebaf0a85,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,14a8fe89b32049a18303c542c1562211,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,9d6ae21f66b74582a27b25a796982d3f,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,1f7168ca1e874d2eac1b7adbe75257b1,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,1cd93607e6474496bdcfaf3e2ea312d7,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,76b61029b2df4699a30b17d9820382fd,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,7dfdf39f7aa849cfbb0007385c8b3d4e,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,c034630ee4e54a54bfb9434aaa83e6f9,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,aef59eb2f1c14e56bc46a256ad17e210,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
